torque,tool_wear,air_temperature,rotational_speed,process_temperature,type_enc,machine_failure
42.0,58,302.6,1554,312.3,1,0
61.0,182,301.8,1334,309.9,2,1
29.0,177,300.3,1611,309.9,2,0
38.2,37,297.3,1471,308.3,1,0
44.4,193,297.4,1434,308.6,2,0
35.7,38,302.7,1542,310.4,1,0
42.2,157,297.0,1529,307.9,1,0
36.8,97,298.8,1553,310.3,1,0
42.1,76,303.0,1524,312.5,2,0
18.1,62,299.9,2065,309.5,2,0
39.4,159,303.8,1531,313.2,1,0
44.4,53,301.2,1516,310.4,1,0
47.6,24,298.4,1395,309.3,1,0
42.0,103,298.3,1502,307.9,1,0
37.3,193,299.8,1467,309.0,0,0
57.4,152,302.5,1405,310.3,1,0
42.6,164,297.4,1490,308.3,1,0
48.4,134,302.5,1488,310.4,1,0
48.0,73,301.9,1373,310.4,2,1
29.4,190,300.3,1705,309.4,1,0
18.6,22,303.8,2117,313.1,2,0
37.7,220,298.0,1429,308.5,1,1
37.7,162,297.4,1571,308.3,1,0
36.7,134,298.3,1542,309.5,1,0
44.3,67,299.6,1471,309.1,2,0
53.3,201,299.9,1367,310.4,2,0
66.8,80,302.6,1365,310.4,1,1
3.8,57,298.3,2886,308.0,1,1
37.5,203,299.3,1542,308.4,2,1
50.6,55,297.6,1373,309.5,1,0
27.2,193,298.0,1790,308.8,1,0
38.2,160,299.9,1582,309.5,2,0
34.9,119,299.1,1493,308.2,1,0
47.8,11,302.7,1360,312.4,1,0
9.7,2,302.7,2709,311.6,2,1
65.7,191,298.9,1410,309.0,1,1
61.0,182,301.8,1334,309.9,2,1
22.6,138,298.3,1816,309.4,2,0
51.7,153,301.9,1370,310.4,1,1
49.8,66,301.9,1369,311.2,1,0
38.0,123,297.5,1546,308.7,2,0
52.3,218,298.3,1412,308.1,1,1
65.3,66,300.7,1356,310.9,1,1
30.4,55,299.0,1662,308.2,0,0
15.9,144,299.0,2240,309.8,2,0
50.2,178,303.8,1379,313.2,0,0
63.9,20,301.4,1259,309.9,1,1
41.8,10,302.7,1351,310.5,1,1
65.7,191,298.9,1410,309.0,1,1
65.7,191,298.9,1410,309.0,1,1
48.4,130,302.3,1366,310.9,0,1
66.3,42,298.5,1301,308.2,1,1
27.2,140,297.2,1770,308.1,0,0
67.5,20,299.1,1320,308.8,1,1
57.4,99,300.1,1329,310.5,2,0
68.6,85,301.9,1331,310.6,1,1
22.4,149,301.5,1927,310.5,1,0
33.6,49,301.4,1674,310.6,0,0
13.0,5,303.8,2497,313.1,1,1
33.9,157,301.3,1596,310.9,1,0
41.4,74,300.0,1507,309.9,1,0
50.9,85,299.2,1443,310.6,2,0
31.9,5,303.9,1590,313.2,1,0
54.2,179,297.3,1456,308.5,1,0
62.4,113,300.8,1342,309.4,2,1
39.1,110,299.6,1559,309.2,1,0
32.6,22,297.4,1530,308.2,2,0
48.7,96,299.6,1357,310.1,2,0
36.4,20,300.7,1569,311.5,2,0
27.2,125,297.7,1688,308.7,1,0
42.2,94,298.4,1455,310.1,1,0
49.7,207,299.5,1399,309.0,2,0
32.9,135,299.7,1597,309.2,2,0
63.9,19,298.1,1420,308.2,2,1
45.9,210,300.5,1397,309.9,0,1
28.4,104,297.7,1731,308.7,1,0
41.1,171,300.8,1414,311.9,1,0
48.5,147,303.7,1469,312.7,2,0
37.9,110,298.4,1490,308.5,1,0
15.8,191,301.5,2297,310.5,1,0
56.2,32,299.5,1387,309.4,2,0
44.7,92,301.3,1459,310.4,1,0
12.1,31,301.9,2691,311.0,1,1
29.0,216,300.0,1692,311.4,2,1
44.0,61,301.7,1431,310.1,2,0
19.6,40,298.6,2035,309.2,1,0
61.2,200,297.0,1316,307.8,1,1
68.0,114,302.6,1284,311.0,1,1
26.9,128,300.8,1686,310.1,2,0
12.1,31,301.9,2691,311.0,1,1
52.9,12,303.2,1393,311.3,1,0
48.2,166,302.1,1379,310.1,2,1
32.8,142,299.7,1572,309.2,0,0
54.7,88,302.9,1334,312.1,1,0
40.5,168,299.4,1451,308.9,1,0
32.2,166,303.4,1673,311.7,1,0
23.3,73,299.0,1861,309.5,1,0
50.3,231,302.0,1383,310.8,1,1
25.9,54,297.4,1782,308.5,1,0
31.7,181,299.4,1582,310.4,1,0
56.9,97,302.5,1330,310.9,1,1
46.5,62,303.5,1361,311.6,1,1
41.6,118,298.6,1497,309.8,1,0
46.2,188,297.4,1383,308.0,1,0
13.0,179,299.5,2549,308.7,1,1
37.6,188,298.4,1463,308.2,2,0
39.9,153,301.9,1465,311.4,2,0
65.5,229,301.7,1298,309.5,1,1
40.8,178,300.0,1425,309.5,2,0
41.3,208,298.8,1455,308.9,1,1
38.8,26,297.4,1428,309.2,1,0
62.0,42,303.3,1315,311.8,1,1
65.2,209,299.6,1229,310.9,1,1
41.3,208,298.8,1455,308.9,1,1
25.4,81,298.9,1831,310.4,1,0
36.2,57,298.8,1509,309.8,1,0
44.5,159,301.4,1472,311.1,1,0
27.0,190,300.7,1815,309.9,1,0
65.3,66,300.7,1356,310.9,1,1
46.5,29,297.3,1491,308.4,1,0
74.5,194,298.8,1243,310.1,2,1
34.6,57,297.9,1590,307.7,1,0
50.9,36,302.3,1353,310.1,1,1
67.5,20,299.1,1320,308.8,1,1
39.6,215,301.1,1457,310.1,1,0
31.2,182,301.0,1634,311.0,1,0
39.2,152,302.6,1610,311.0,1,0
46.7,36,300.7,1377,310.7,2,0
38.5,117,300.6,1533,310.8,1,0
52.1,104,298.3,1349,308.8,2,0
50.4,220,299.2,1378,308.5,1,1
37.0,29,298.1,1569,307.9,2,0
55.4,217,299.1,1398,309.8,1,1
41.9,3,297.6,1529,309.3,2,0
48.9,28,302.3,1412,310.9,1,0
48.3,78,301.3,1577,310.4,2,0
38.3,49,301.2,1568,310.7,1,0
65.1,212,299.8,1299,309.3,1,1
40.7,184,297.0,1404,307.8,0,0
47.2,159,302.0,1464,310.4,1,0
60.7,119,298.4,1421,308.7,2,1
44.5,124,298.5,1438,309.6,2,0
69.6,62,299.9,1288,310.2,1,1
48.2,77,301.6,1326,310.1,1,1
46.3,133,298.8,1418,309.1,1,0
52.0,154,302.6,1331,310.9,1,1
53.8,131,300.9,1350,310.6,1,0
31.0,209,298.2,1511,307.6,1,1
48.3,36,302.2,1356,310.8,2,0
43.5,78,298.1,1514,307.8,2,0
59.2,198,300.4,1272,311.8,1,1
52.8,8,302.1,1314,310.7,1,1
54.2,207,300.5,1379,309.8,1,1
74.5,194,298.8,1243,310.1,2,1
68.6,85,301.9,1331,310.6,1,1
49.3,176,297.3,1524,308.5,2,0
46.4,48,298.7,1375,308.5,1,0
36.1,43,300.1,1622,309.6,2,0
43.2,119,298.4,1385,309.4,1,0
52.7,85,300.7,1540,310.6,1,0
36.7,12,297.9,1502,307.3,1,0
52.4,165,301.5,1382,310.8,1,0
45.0,78,303.9,1483,313.0,1,0
50.2,51,295.9,1414,306.6,1,0
45.4,130,302.3,1456,311.7,0,0
24.4,163,303.9,1789,312.7,1,0
34.8,121,303.5,1624,312.3,2,0
35.6,63,300.2,1506,309.3,0,0
62.6,183,301.4,1285,310.8,1,1
19.8,203,300.7,1996,309.6,2,1
44.4,207,297.1,1323,308.5,1,1
40.5,192,298.2,1508,309.0,2,0
37.1,187,300.3,1537,309.6,1,0
52.7,66,303.7,1332,311.9,0,1
55.5,101,302.5,1356,310.9,0,1
42.4,133,300.6,1502,309.8,1,0
34.5,46,301.9,1616,310.9,1,0
32.9,40,301.2,1543,310.7,2,0
37.7,49,298.0,1607,308.9,1,0
45.6,185,298.8,1403,310.0,1,0
44.2,57,302.2,1488,310.9,2,0
59.8,169,302.6,1442,311.5,1,1
52.5,161,302.4,1375,310.3,2,1
29.7,131,301.6,1683,310.7,1,0
47.0,210,303.4,1341,311.8,2,1
60.3,206,300.3,1362,310.3,1,1
44.2,46,296.0,1416,306.7,1,0
35.0,201,299.2,1465,308.4,1,0
37.4,146,303.7,1540,312.4,2,0
32.2,161,299.8,1553,310.8,1,0
52.5,213,297.0,1362,308.1,1,1
53.7,200,302.9,1330,311.2,2,1
70.6,94,303.5,1284,312.4,1,1
65.3,66,300.7,1356,310.9,1,1
50.1,188,302.4,1398,311.9,2,0
39.7,144,299.1,1602,310.6,1,0
36.4,126,297.4,1496,308.5,1,0
38.5,108,300.5,1542,309.5,1,0
51.0,174,303.0,1341,311.2,1,1
36.5,52,302.8,1509,312.2,1,0
46.9,85,297.9,1459,307.8,1,0
61.5,61,297.4,1399,308.5,1,1
65.2,209,299.6,1229,310.9,1,1
26.8,116,300.9,1758,309.5,2,0
48.1,23,297.3,1410,308.3,1,0
48.7,24,300.4,1384,310.6,1,0
36.7,221,299.6,1540,309.2,1,0
55.4,217,299.1,1398,309.8,1,1
76.6,3,300.4,1200,311.6,1,1
61.3,207,297.2,1340,308.1,2,1
40.5,181,299.4,1492,308.6,1,0
33.9,96,302.9,1555,311.1,1,0
41.0,181,300.9,1485,310.7,2,0
48.2,10,297.8,1445,309.4,0,0
71.6,31,297.9,1336,309.8,1,1
45.8,57,300.9,1493,310.8,1,0
32.6,197,298.7,1555,310.0,1,0
65.9,203,298.7,1181,309.8,1,1
26.0,119,298.0,1792,307.6,2,0
47.4,112,297.0,1412,307.9,2,0
47.7,199,299.3,1341,308.8,1,0
60.3,207,302.1,1351,311.0,2,1
48.8,91,300.8,1360,310.6,1,0
59.2,153,302.1,1454,311.2,1,1
27.9,148,300.9,1755,310.9,1,0
47.5,109,302.2,1346,310.6,1,1
22.0,196,298.5,1921,309.0,2,0
44.1,217,301.0,1454,310.1,0,0
37.9,36,300.2,1433,311.4,1,0
44.0,64,302.0,1446,310.9,1,0
51.5,126,302.2,1355,310.6,2,1
43.6,4,297.4,1474,308.4,1,0
44.5,80,298.2,1467,309.1,1,0
35.9,215,303.4,1521,312.0,1,1
42.6,107,298.0,1473,308.3,1,0
28.4,158,300.5,1710,311.9,1,0
38.1,13,300.0,1477,309.6,2,0
37.7,220,298.0,1429,308.5,1,1
23.5,49,300.4,1815,311.6,1,0
23.5,7,303.6,1873,312.9,1,0
42.6,210,299.8,1400,309.2,1,0
26.4,79,302.3,1784,311.6,1,0
45.2,40,298.8,1439,309.9,0,1
41.0,153,298.5,1569,309.5,1,0
35.1,57,302.1,1616,311.2,2,0
47.3,15,297.8,1372,309.2,1,0
33.0,200,301.2,1670,311.0,1,0
28.3,64,298.6,1704,309.8,1,0
53.3,8,301.1,1389,311.3,2,0
39.5,83,304.0,1466,313.1,2,0
42.3,180,303.4,1476,311.7,1,0
39.5,22,302.3,1484,311.4,2,0
29.6,129,303.0,1645,312.4,2,0
33.1,38,301.5,1568,310.7,1,0
9.8,65,303.4,2706,312.6,2,1
44.4,100,298.2,1332,308.9,1,0
34.8,211,304.0,1530,313.3,1,0
49.7,201,297.5,1459,309.3,0,0
37.9,227,300.8,1577,310.6,1,1
51.7,153,301.9,1370,310.4,1,1
49.2,179,299.5,1422,309.3,1,0
51.8,16,303.3,1409,311.3,1,0
49.0,166,298.3,1454,308.8,1,0
39.5,202,300.7,1608,310.8,1,0
41.9,32,297.5,1446,308.5,1,0
61.2,189,300.8,1405,310.1,1,1
43.5,143,297.8,1479,308.4,2,0
55.6,79,302.0,1212,310.4,2,1
31.3,61,297.1,1717,308.6,2,0
41.6,34,303.4,1377,311.9,1,1
43.9,182,304.1,1452,313.3,1,0
48.0,117,297.4,1481,308.7,2,0
36.0,59,300.8,1518,310.4,2,0
30.1,62,302.6,1649,310.4,0,0
59.8,169,302.6,1442,311.5,1,1
43.2,113,300.8,1465,311.3,2,0
34.6,81,298.2,1678,308.4,0,0
32.6,175,300.3,1624,309.6,1,0
30.4,178,297.5,1722,308.5,1,0
49.6,101,300.0,1383,311.4,1,0
32.4,151,298.3,1609,307.9,2,0
42.1,104,299.3,1457,310.6,2,0
62.4,204,297.4,1325,308.8,2,1
35.9,68,298.2,1530,307.8,1,0
65.2,136,300.3,1381,311.2,2,1
37.3,207,302.2,1530,311.3,1,1
27.3,58,298.9,1719,310.0,1,0
40.4,140,299.7,1422,309.2,1,0
25.9,3,301.7,1763,310.7,1,0
52.1,166,303.8,1406,313.3,1,0
43.1,40,299.1,1437,310.5,1,0
41.1,80,296.6,1498,307.6,1,0
43.0,123,298.3,1537,309.1,1,0
34.5,155,300.0,1641,311.4,0,0
67.2,18,300.8,1322,311.4,1,1
45.1,7,301.4,1425,310.7,1,0
55.8,70,301.6,1362,310.1,1,1
54.3,80,300.7,1329,309.6,1,0
63.9,59,303.4,1298,311.9,1,1
40.1,142,300.7,1518,310.8,0,0
46.1,148,302.4,1349,310.9,1,1
59.6,207,297.3,1459,308.3,2,1
51.1,50,300.7,1401,312.0,1,0
38.9,188,303.0,1592,311.2,2,0
39.5,133,300.1,1479,311.3,1,0
61.9,216,298.9,1287,309.8,1,1
50.4,220,299.2,1378,308.5,1,1
29.8,25,303.5,1681,312.3,1,0
41.8,160,298.0,1526,308.6,0,0
35.3,65,301.1,1464,312.3,1,0
30.9,146,302.0,1651,310.5,1,0
53.5,168,298.4,1335,309.2,1,0
49.6,34,304.1,1397,313.3,0,0
47.5,11,302.7,1369,310.7,1,1
54.6,176,302.4,1329,311.0,1,0
67.8,197,302.7,1263,310.5,1,1
49.8,115,301.2,1381,310.4,1,0
41.3,208,298.8,1455,308.9,1,1
73.6,49,301.1,1312,310.4,1,1
22.2,192,299.0,1787,310.6,2,0
57.2,67,302.6,1359,310.4,1,1
37.3,10,297.6,1530,309.6,2,0
20.9,23,301.8,1881,310.9,2,0
31.4,72,296.4,1684,307.5,2,0
57.3,147,302.0,1280,309.8,0,1
57.4,40,301.7,1311,310.2,1,1
47.6,179,298.2,1424,308.4,1,0
33.8,100,298.2,1566,307.8,2,0
45.7,143,298.7,1420,308.5,0,0
15.3,98,298.4,2153,309.5,1,1
59.9,205,303.8,1365,313.0,1,1
40.0,125,297.3,1551,308.7,1,0
33.6,67,299.0,1662,310.3,2,0
52.7,44,298.3,1270,308.9,1,0
51.4,76,300.1,1433,311.6,2,0
45.5,141,300.8,1505,311.3,1,0
41.4,192,297.2,1524,308.5,0,0
39.4,96,303.5,1524,312.8,1,0
46.3,203,298.5,1385,309.5,1,1
41.8,10,302.7,1351,310.5,1,1
57.9,191,300.5,1368,311.8,1,1
44.1,192,303.4,1353,311.7,2,1
30.8,182,302.1,1740,311.0,1,0
69.1,153,297.0,1296,307.9,1,1
49.1,22,298.2,1522,308.3,2,0
52.7,66,303.7,1332,311.9,0,1
43.0,151,297.7,1489,308.2,0,0
41.1,26,302.0,1567,311.3,1,0
59.8,169,302.6,1442,311.5,1,1
36.7,104,298.0,1500,308.9,1,0
54.6,112,303.6,1371,312.2,0,1
26.0,195,300.7,1810,309.6,1,0
41.3,8,299.2,1466,308.2,1,0
34.5,162,301.5,1593,310.8,1,0
22.3,121,300.3,1989,311.7,1,0
60.3,206,300.3,1362,310.3,1,1
70.6,94,303.5,1284,312.4,1,1
71.6,31,297.9,1336,309.8,1,1
8.0,15,301.5,2760,310.9,1,1
52.5,161,302.4,1375,310.3,2,1
12.1,31,301.9,2691,311.0,1,1
35.6,150,300.6,1479,310.4,0,0
25.8,130,298.7,1843,309.0,2,0
43.9,0,296.9,1392,307.8,2,0
49.7,210,297.2,1431,308.1,1,1
60.4,149,299.6,1372,309.0,1,0
61.5,127,303.1,1404,312.4,1,1
25.5,120,301.5,1785,310.8,1,0
48.9,228,299.2,1515,309.0,1,1
50.6,108,298.1,1313,308.9,1,0
46.5,62,303.5,1361,311.6,1,1
10.8,84,302.6,2676,310.2,2,1
46.3,3,298.2,1408,308.7,1,0
44.0,124,298.4,1477,308.6,1,0
43.1,134,300.7,1476,310.5,0,0
36.2,166,300.6,1541,309.8,0,0
44.3,219,296.9,1483,308.1,2,0
38.0,139,303.0,1519,311.2,2,0
50.9,36,302.3,1353,310.1,1,1
37.0,33,300.7,1474,310.6,2,0
55.5,101,302.5,1356,310.9,0,1
47.8,31,297.3,1417,308.4,1,0
56.2,65,295.8,1325,306.4,1,0
41.7,32,303.5,1532,312.3,2,0
55.3,192,302.0,1325,310.6,1,0
53.2,174,301.7,1399,310.5,1,0
27.3,35,301.2,1747,310.7,0,0
55.1,187,302.5,1349,310.4,1,1
55.6,163,297.2,1364,308.5,2,0
71.8,149,300.2,1255,311.0,1,1
57.8,89,298.2,1353,309.0,1,0
62.8,22,301.9,1286,310.4,1,1
35.1,173,298.8,1618,309.3,2,0
35.6,183,302.3,1630,311.1,1,0
36.8,82,302.2,1594,311.6,0,0
41.9,207,300.7,1478,311.8,1,0
51.4,48,300.3,1462,309.2,1,0
37.0,47,298.8,1534,309.8,2,0
54.6,112,303.6,1371,312.2,0,1
36.5,177,299.9,1574,309.2,2,0
44.7,8,297.9,1435,309.1,0,0
56.8,216,298.0,1362,308.3,1,1
34.3,53,297.8,1563,307.8,1,0
27.7,50,302.1,1727,311.5,1,0
31.8,172,302.4,1560,310.9,1,0
44.3,173,298.3,1484,309.7,1,0
24.6,79,297.4,1820,308.6,1,0
52.0,136,298.2,1350,309.1,1,0
33.3,121,298.0,1622,307.8,1,0
44.0,198,300.2,1474,310.1,2,0
28.5,186,297.0,1731,307.7,1,0
29.8,94,301.9,1650,310.8,1,0
45.2,136,297.1,1427,308.2,1,0
54.9,126,301.9,1376,310.4,1,1
43.4,111,301.1,1367,310.7,2,0
30.0,53,299.0,1667,310.0,2,0
50.3,110,298.4,1397,309.5,1,0
55.0,25,302.7,1275,310.8,0,1
36.1,73,298.0,1581,308.8,1,0
62.5,9,298.6,1353,309.6,1,0
49.8,222,297.6,1501,309.6,1,1
56.8,216,298.0,1362,308.3,1,1
40.4,169,298.8,1609,309.7,1,0
41.7,72,301.8,1547,310.7,1,0
68.5,0,302.6,1288,312.1,1,1
52.4,115,295.6,1370,306.0,1,0
40.6,79,303.9,1608,313.2,2,0
41.3,17,297.6,1415,309.3,2,0
46.2,62,300.3,1466,311.5,1,0
56.1,206,298.3,1337,309.3,1,1
10.7,86,298.2,2678,308.5,2,1
34.6,207,301.0,1499,312.0,2,0
40.6,178,295.4,1518,305.9,2,0
60.7,216,298.4,1282,308.2,1,1
36.6,20,297.9,1543,309.1,1,0
56.9,97,302.5,1330,310.9,1,1
46.6,155,300.5,1445,310.8,1,0
35.3,159,298.1,1570,308.0,0,0
43.9,0,301.6,1455,310.6,1,0
48.9,228,299.2,1515,309.0,1,1
61.8,98,297.4,1328,308.4,1,0
51.3,51,303.4,1295,311.7,1,1
53.2,67,295.8,1339,306.4,1,0
39.5,168,297.3,1556,309.0,2,0
65.9,203,298.7,1181,309.8,1,1
41.4,28,300.0,1493,311.3,1,0
33.0,84,297.2,1562,308.6,1,0
39.7,123,301.2,1451,310.3,1,0
28.5,197,301.0,1813,310.9,1,0
33.7,76,299.3,1520,308.6,1,0
56.8,194,303.7,1359,312.7,1,1
33.3,28,299.2,1675,310.6,1,0
50.9,36,302.3,1353,310.1,1,1
38.9,166,297.1,1609,307.9,2,0
58.4,189,300.7,1336,311.8,1,1
61.2,47,301.7,1331,310.2,1,1
69.1,153,297.0,1296,307.9,1,1
53.4,123,300.3,1339,311.6,0,0
48.1,32,303.3,1350,311.3,1,1
43.2,206,297.6,1433,308.9,2,0
9.7,2,302.7,2709,311.6,2,1
9.7,2,302.7,2709,311.6,2,1
69.4,189,298.0,1268,308.7,1,1
36.4,113,300.6,1552,309.4,1,0
47.1,153,298.2,1407,308.2,1,0
44.7,205,300.8,1371,310.7,2,0
45.7,144,302.4,1372,310.5,2,1
36.1,225,297.9,1604,307.4,0,1
57.9,168,300.4,1320,311.8,1,0
48.1,59,300.9,1432,311.0,1,0
36.8,197,298.8,1567,310.1,0,0
42.5,46,298.7,1483,308.5,1,0
37.4,171,297.3,1548,309.0,1,0
49.3,93,303.5,1344,311.9,1,1
36.0,56,298.1,1557,309.0,1,0
31.0,209,298.2,1511,307.6,1,1
39.9,25,302.0,1509,311.3,1,0
35.3,0,300.6,1629,311.9,2,0
61.8,209,300.7,1416,310.4,1,1
35.0,205,304.4,1509,313.7,1,1
38.8,199,299.7,1478,309.2,1,0
36.5,40,299.1,1521,308.3,0,0
41.9,221,299.7,1399,309.3,2,1
